epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,15.6532,0.87148,7.29308,0.66841,0.64883,1.22894,0.96563,1,0.995,0.82075,0,0,0,0,0.95148,6.11892,0.66648,0.91654,1.29712,0.0004218,0.0004218,0.0004218
32,16.1317,0.70913,7.57141,0.67504,0.49341,1.18735,0.96563,1,0.995,0.82075,0,0,0,0,0.95148,6.11892,0.66648,0.91654,1.29712,0.000429722,0.000429722,0.000429722
33,16.6362,0.48598,7.26173,0.67194,0.43826,1.11995,0.95205,1,0.995,0.746,0,0,0,0,0.95485,6.28517,0.65763,0.7973,1.44571,0.000437248,0.000437248,0.000437248
34,17.1601,0.57434,7.14621,0.67798,0.63914,1.20546,0.95205,1,0.995,0.746,0,0,0,0,0.95485,6.28517,0.65763,0.7973,1.44571,0.000444378,0.000444378,0.000444378
35,17.6552,0.33126,6.33598,0.6458,0.47403,0.99221,0.96351,1,0.995,0.746,0,0,0,0,0.95682,6.17498,0.63866,0.75433,1.55291,0.000451112,0.000451112,0.000451112
36,18.1268,0.47286,5.5029,0.63671,0.51011,1.24953,0.96351,1,0.995,0.746,0,0,0,0,0.95682,6.17498,0.63866,0.75433,1.55291,0.00045745,0.00045745,0.00045745
37,18.645,0.76512,4.90451,0.6233,0.61247,1.51682,0.96108,1,0.995,0.82075,0,0,0,0,0.76065,5.65357,0.61229,1.30447,1.29026,0.000463392,0.000463392,0.000463392
38,19.1028,0.64191,5.68187,0.6377,0.55563,1.1094,0.96108,1,0.995,0.82075,0,0,0,0,0.76065,5.65357,0.61229,1.30447,1.29026,0.000468938,0.000468938,0.000468938
39,19.613,0.92762,4.89961,0.64485,1.1576,1.3672,0.97671,1,0.995,0.77075,0,0,0,0,0.61107,5.33128,0.59954,2.37954,0.98669,0.000474088,0.000474088,0.000474088
40,20.0897,1.00503,5.94736,0.66545,0.77702,1.62161,0.97671,1,0.995,0.77075,0,0,0,0,0.61107,5.33128,0.59954,2.37954,0.98669,0.000478842,0.000478842,0.000478842
41,20.6247,0.6206,4.81337,0.64078,0.43075,1.14449,0.98112,1,0.995,0.82075,0.49056,0.5,0.2475,0.02475,0.50585,5.4452,0.59286,3.10906,0.79419,0.0004832,0.0004832,0.0004832
42,21.1049,0.62834,4.77648,0.69121,0.55899,1.2652,0.98112,1,0.995,0.82075,0.49056,0.5,0.2475,0.02475,0.50585,5.4452,0.59286,3.10906,0.79419,0.000487162,0.000487162,0.000487162
43,21.6654,0.62547,4.55747,0.64661,0.56058,1.30831,0.96698,1,0.995,0.8955,0,0,0,0,0.55046,5.2902,0.57675,3.073,0.8132,0.000490728,0.000490728,0.000490728
44,22.1442,1.10949,4.54926,0.72893,0.85797,1.69956,0.96698,1,0.995,0.8955,0,0,0,0,0.55046,5.2902,0.57675,3.073,0.8132,0.000493898,0.000493898,0.000493898
45,22.644,0.68342,3.78327,0.66064,0.50692,1.42688,0.97341,1,0.995,0.8955,0,0,0,0,0.58844,6.14003,0.58244,3.03057,0.85353,0.000496672,0.000496672,0.000496672
46,23.1074,1.62286,4.97588,0.65184,1.01225,1.91169,0.97341,1,0.995,0.8955,0,0,0,0,0.58844,6.14003,0.58244,3.03057,0.85353,0.00049905,0.00049905,0.00049905
47,23.6203,0.82199,4.22136,0.62826,0.68985,1.28617,0.495,1,0.995,0.82075,0,0,0,0,0.80833,7.05866,0.58328,3.52123,1.05844,0.000501032,0.000501032,0.000501032
48,24.0945,0.68503,6.05199,0.63297,0.68818,1.13338,0.495,1,0.995,0.82075,0,0,0,0,0.80833,7.05866,0.58328,3.52123,1.05844,0.000502618,0.000502618,0.000502618
49,24.5963,0.61468,4.92392,0.64537,0.5092,1.29666,0.66103,1,0.995,0.82075,0,0,0,0,0.85573,7.00439,0.57046,3.0251,1.21351,0.000503808,0.000503808,0.000503808
50,25.0587,0.81544,6.53835,0.61796,0.61152,1.42135,0.66103,1,0.995,0.82075,0,0,0,0,0.85573,7.00439,0.57046,3.0251,1.21351,0.000504602,0.000504602,0.000504602
51,25.6464,0.55481,6.31806,0.62792,0.48337,1.01675,0.88596,1,0.995,0.82075,0.32858,0.5,0.165,0.0165,0.77671,6.28525,0.53497,1.40506,1.24629,0.000505,0.000505,0.000505
52,26.1334,0.56371,2.4085,0.62033,0.74536,1.12308,0.88596,1,0.995,0.82075,0.32858,0.5,0.165,0.0165,0.77671,6.28525,0.53497,1.40506,1.24629,0.000505002,0.000505002,0.000505002
53,26.6454,0.68871,2.33608,0.62583,0.92562,1.17433,0.88596,1,0.995,0.82075,0.32858,0.5,0.165,0.0165,0.77671,6.28525,0.53497,1.40506,1.24629,0.000504608,0.000504608,0.000504608
54,27.1597,0.52824,5.71802,0.64794,0.46654,1.13002,0.98287,1,0.995,0.8955,0,0,0,0,0.62961,6.11156,0.5041,0.62385,1.06197,0.000503818,0.000503818,0.000503818
55,27.6833,0.58108,5.84173,0.6716,0.58214,1.28496,0.98287,1,0.995,0.8955,0,0,0,0,0.62961,6.11156,0.5041,0.62385,1.06197,0.000502632,0.000502632,0.000502632
56,28.1902,0.52146,6.63843,0.63679,0.5109,1.15631,0.98287,1,0.995,0.8955,0,0,0,0,0.62961,6.11156,0.5041,0.62385,1.06197,0.00050105,0.00050105,0.00050105
57,28.677,0.54915,6.25271,0.61215,0.4487,1.07164,0.98274,1,0.995,0.8955,0,0,0,0,0.71256,5.84212,0.48277,0.79171,0.99072,0.000499072,0.000499072,0.000499072
58,29.1366,0.63356,5.76119,0.63959,0.53491,1.17291,0.98274,1,0.995,0.8955,0,0,0,0,0.71256,5.84212,0.48277,0.79171,0.99072,0.000496698,0.000496698,0.000496698
59,29.6448,0.4981,4.14487,0.65806,0.48084,1.25257,0.98274,1,0.995,0.8955,0,0,0,0,0.71256,5.84212,0.48277,0.79171,0.99072,0.000493928,0.000493928,0.000493928
60,30.1882,0.59409,5.90589,0.62157,0.41567,1.15721,0.9828,1,0.995,0.8955,0,0,0,0,0.85843,5.59417,0.48159,1.07057,1.16478,0.000490762,0.000490762,0.000490762
61,30.6544,0.41416,6.41061,0.63179,0.38533,0.92192,0.9828,1,0.995,0.8955,0,0,0,0,0.85843,5.59417,0.48159,1.07057,1.16478,0.0004872,0.0004872,0.0004872
62,31.1139,0.52323,5.22897,0.61037,0.4321,1.07742,0.9828,1,0.995,0.8955,0,0,0,0,0.85843,5.59417,0.48159,1.07057,1.16478,0.000483242,0.000483242,0.000483242
63,31.6228,0.51555,3.40691,0.59816,0.36954,1.0154,0.98252,1,0.995,0.8455,0.49089,0.5,0.2475,0.02475,1.03781,5.15338,0.47855,0.99048,1.51414,0.000478888,0.000478888,0.000478888
64,32.0826,1.09415,6.66729,0.61469,0.72838,1.53594,0.98252,1,0.995,0.8455,0.49089,0.5,0.2475,0.02475,1.03781,5.15338,0.47855,0.99048,1.51414,0.000474138,0.000474138,0.000474138
65,32.5627,2.02206,6.59412,0.62919,1.26627,2.22992,0.98252,1,0.995,0.8455,0.49089,0.5,0.2475,0.02475,1.03781,5.15338,0.47855,0.99048,1.51414,0.000468992,0.000468992,0.000468992
66,33.0504,0.51827,4.7988,0.60754,0.47409,1.03833,0.97958,1,0.995,0.8955,0,0,0,0,1.02365,4.63853,0.45758,1.10004,1.77227,0.00046345,0.00046345,0.00046345
67,33.5222,0.77594,5.87067,0.65117,0.67085,1.41695,0.97958,1,0.995,0.8955,0,0,0,0,1.02365,4.63853,0.45758,1.10004,1.77227,0.000457512,0.000457512,0.000457512
68,34.0468,0.91449,6.17405,0.61881,0.6658,1.54443,0.97958,1,0.995,0.8955,0,0,0,0,1.02365,4.63853,0.45758,1.10004,1.77227,0.000451178,0.000451178,0.000451178
69,34.5389,0.58296,4.14775,0.62944,0.41411,1.03514,0.98166,1,0.995,0.8955,0,0,0,0,0.87858,4.62863,0.45412,0.86389,1.42318,0.000444448,0.000444448,0.000444448
70,35.0023,0.66378,4.69766,0.6515,0.52115,0.90007,0.98166,1,0.995,0.8955,0,0,0,0,0.87858,4.62863,0.45412,0.86389,1.42318,0.000437322,0.000437322,0.000437322
71,35.4683,0.74521,4.93028,0.65048,0.61911,1.2938,0.98166,1,0.995,0.8955,0,0,0,0,0.87858,4.62863,0.45412,0.86389,1.42318,0.0004298,0.0004298,0.0004298
72,35.959,0.61029,6.90368,0.60794,0.93939,1.2887,0.98255,1,0.995,0.8955,0,0,0,0,0.72282,4.72549,0.44257,0.6308,1.10549,0.000421882,0.000421882,0.000421882
73,36.4582,0.3855,3.27837,0.62878,0.45475,1.11694,0.98255,1,0.995,0.8955,0,0,0,0,0.72282,4.72549,0.44257,0.6308,1.10549,0.000413568,0.000413568,0.000413568
74,36.9376,0.69795,1.8791,0.65256,0.59399,1.34317,0.98255,1,0.995,0.8955,0,0,0,0,0.72282,4.72549,0.44257,0.6308,1.10549,0.000404858,0.000404858,0.000404858
75,37.4738,0.44114,5.50952,0.62036,0.41706,0.9801,0.98294,1,0.995,0.8955,0,0,0,0,0.60139,4.89008,0.43562,0.54272,0.96515,0.000395752,0.000395752,0.000395752
76,38.0011,0.43743,5.33931,0.62143,0.48684,1.27727,0.98294,1,0.995,0.8955,0,0,0,0,0.60139,4.89008,0.43562,0.54272,0.96515,0.00038625,0.00038625,0.00038625
