frame,object_type,track_id,team_id,frame_x,frame_y,court_x,court_y
0,player,1,-1,650.7646484375,425.4381408691406,497.265380859375,547.3392333984375
0,player,2,-1,546.4924926757812,520.5899047851562,349.17236328125,755.06884765625
0,player,4,-1,409.3262023925781,613.5382080078125,203.93130493164062,914.0081176757812
0,player,5,-1,428.1941833496094,359.60516357421875,322.8863220214844,274.16851806640625
0,player,7,-1,735.8851318359375,420.663818359375,577.8261108398438,557.5787353515625
0,player,8,-1,440.22412109375,448.9095458984375,289.310302734375,553.7486572265625
0,player,10,-1,29.215072631835938,445.18035888671875,-116.13399505615234,424.150390625
0,player,11,-1,612.959716796875,330.8331298828125,538.1096801757812,237.3067169189453
0,player,12,-1,439.4914245605469,420.5179748535156,302.0602111816406,473.42840576171875
0,player,16,-1,537.8160400390625,511.228515625,346.4307861328125,732.2540283203125
1,player,5,-1,427.4495849609375,359.8583068847656,322.56048583984375,274.3883972167969
1,player,4,-1,413.374755859375,612.081298828125,205.17507934570312,913.3348999023438
1,player,2,-1,547.2967529296875,520.8389282226562,349.36474609375,755.322998046875
1,player,1,-1,649.0535888671875,425.1551513671875,496.79351806640625,546.9039916992188
1,player,7,-1,737.0936889648438,410.260498046875,581.3207397460938,547.7000732421875
1,player,11,-1,613.364013671875,332.5586242675781,537.7061767578125,239.54550170898438
1,player,8,-1,441.99755859375,450.3020935058594,289.66632080078125,555.2372436523438
1,player,10,-1,28.212242126464844,445.78533935546875,-116.48141479492188,424.69171142578125
1,player,16,-1,526.3311157226562,465.3912353515625,351.100341796875,692.8678588867188
2,player,5,-1,429.57568359375,357.1068420410156,323.68780517578125,271.396484375
2,player,4,-1,416.2261962890625,603.687744140625,207.60964965820312,907.6376953125
2,player,7,-1,737.0997314453125,403.81805419921875,585.5685424804688,534.9478759765625
2,player,2,-1,547.4125366210938,522.1128540039062,349.3081970214844,756.4765625
2,player,8,-1,443.8369140625,442.29156494140625,291.7964782714844,548.7237548828125
2,player,1,-1,642.0848388671875,422.3545837402344,494.98175048828125,543.2529296875
2,player,11,-1,615.0753784179688,334.9698486328125,537.29931640625,244.25247192382812
2,player,10,-1,27.518373489379883,445.90032958984375,-116.95750427246094,425.09234619140625
2,player,16,-1,520.7588500976562,435.5790100097656,358.10791015625,639.1500854492188
3,player,4,-1,417.6222839355469,596.6278076171875,210.30624389648438,899.369140625
3,player,5,-1,432.4549560546875,355.3033447265625,325.8563537597656,267.5685119628906
3,player,2,-1,547.87548828125,523.8341064453125,349.11602783203125,758.5804443359375
3,player,8,-1,448.7900085449219,436.7192077636719,295.7420654296875,539.5526733398438
3,player,15,-1,734.7474365234375,380.70355224609375,612.3319702148438,442.93023681640625
3,player,16,-1,517.8701171875,429.6997375488281,362.8983154296875,598.2382202148438
3,player,1,-1,636.9888916015625,422.3792724609375,492.16461181640625,540.4090576171875
3,player,10,-1,26.682430267333984,445.8312072753906,-117.57550048828125,425.1889343261719
3,player,11,-1,617.2210693359375,337.1531982421875,537.1201171875,250.308349609375
4,player,4,-1,419.30096435546875,606.1981201171875,211.52841186523438,900.4011840820312
4,player,5,-1,435.18572998046875,355.7763977050781,328.18316650390625,266.008056640625
4,player,2,-1,547.1499633789062,524.1632080078125,348.72503662109375,760.1436157226562
4,player,8,-1,462.9795837402344,436.035888671875,303.1129455566406,534.31494140625
4,player,16,-1,516.1865234375,423.1078186035156,366.79547119140625,564.958251953125
4,player,7,-1,732.8253173828125,403.6252746582031,587.02197265625,526.04248046875
4,player,1,-1,630.46044921875,423.8426513671875,487.86956787109375,539.3427734375
4,player,10,-1,25.298208236694336,445.4313659667969,-118.49827575683594,424.67388916015625
4,player,11,-1,619.901123046875,336.45172119140625,538.1936645507812,253.7042694091797
5,player,4,-1,421.71221923828125,610.0751342773438,212.58175659179688,903.7409057617188
5,player,2,-1,547.4645385742188,523.8846435546875,348.60906982421875,760.9710083007812
5,player,5,-1,435.8804931640625,358.07861328125,329.4806213378906,267.9296569824219
5,player,1,-1,624.3778076171875,425.284912109375,482.76751708984375,539.4528198242188
5,player,23,-1,296.51470947265625,312.6343078613281,199.23577880859375,41.54363250732422
5,player,8,-1,473.16998291015625,438.5741882324219,310.808349609375,534.3739013671875
5,player,7,-1,730.3685913085938,402.8475646972656,587.4188842773438,519.235595703125
5,player,16,-1,512.50634765625,421.76422119140625,368.38360595703125,541.6126708984375
5,player,10,-1,24.259735107421875,445.5119934082031,-119.47608947753906,424.31402587890625
6,player,4,-1,423.3016357421875,610.3511962890625,213.669921875,906.193115234375
6,player,2,-1,548.90771484375,523.6263427734375,348.9964599609375,761.4224853515625
6,player,5,-1,435.94097900390625,357.2217102050781,330.52197265625,268.1278381347656
6,player,16,-1,508.23077392578125,429.8182373046875,366.38958740234375,534.0069580078125
