frame,object_type,track_id,team_id,frame_x,frame_y,court_x,court_y
0,player,1,-1,984.597412109375,511.4832763671875,761.5439453125,827.3528442382812
0,player,2,-1,820.0399169921875,415.6431884765625,739.7427368164062,548.2918701171875
0,player,3,-1,549.8443603515625,524.2225952148438,448.133056640625,754.9158935546875
0,player,4,-1,683.1903076171875,353.9429931640625,691.0756225585938,292.5074157714844
0,player,5,-1,1053.11767578125,559.1517333984375,761.357421875,932.0468139648438
0,player,6,-1,498.1427917480469,544.8365478515625,403.24658203125,786.4362182617188
0,player,10,-1,847.3676147460938,413.31036376953125,765.2860717773438,549.04833984375
1,player,1,-1,984.6478271484375,510.9183044433594,761.755126953125,826.951904296875
1,player,2,-1,819.7449951171875,416.2349548339844,739.4173583984375,548.8818359375
1,player,3,-1,550.8829345703125,524.5130004882812,448.3386535644531,755.2174682617188
1,player,4,-1,683.5511474609375,353.7658386230469,691.271728515625,292.30157470703125
1,player,5,-1,1054.2110595703125,561.2640991210938,760.9180908203125,933.4039306640625
1,player,6,-1,498.27398681640625,544.5347900390625,403.3201904296875,786.2313232421875
1,player,14,-1,615.5013427734375,351.37994384765625,628.9658203125,259.2313232421875
2,player,1,-1,984.007080078125,509.9880065917969,762.064208984375,825.9715576171875
2,player,3,-1,552.1337890625,523.5319213867188,448.9474792480469,754.774658203125
2,player,2,-1,816.983642578125,416.72698974609375,738.2041015625,549.5061645507812
2,player,5,-1,1055.006591796875,560.9971313476562,760.8978271484375,934.1826171875
2,player,4,-1,683.4119873046875,353.7975158691406,691.3391723632812,292.1958312988281
2,player,6,-1,498.88677978515625,544.340576171875,403.5415954589844,786.0070190429688
2,player,15,-1,206.03750610351562,365.8925476074219,223.05157470703125,180.72085571289062
2,player,14,-1,613.0294189453125,350.94317626953125,628.2945556640625,258.30712890625
2,player,10,-1,848.892578125,413.1214599609375,765.811767578125,549.00146484375
3,player,1,-1,981.5283203125,508.6173095703125,762.1435546875,824.1468505859375
3,player,3,-1,552.9855346679688,522.07666015625,449.8034362792969,753.4549560546875
3,player,2,-1,815.5241088867188,416.15533447265625,737.2203369140625,549.170166015625
3,player,4,-1,683.1224365234375,353.82928466796875,691.2725830078125,292.1375732421875
3,player,5,-1,1055.345458984375,558.7289428710938,761.6988525390625,933.3401489257812
3,player,6,-1,499.70123291015625,545.4912719726562,403.7181091308594,786.7431030273438
3,player,15,-1,202.10812377929688,367.6694641113281,221.61941528320312,182.87796020507812
3,player,14,-1,610.3106689453125,351.481689453125,626.7342529296875,258.158935546875
3,player,10,-1,847.5538330078125,413.4843444824219,765.6082763671875,549.2191162109375
4,player,1,-1,978.8460083007812,507.2698669433594,762.0147705078125,821.7682495117188
4,player,3,-1,553.4351806640625,520.9776611328125,450.6610107421875,751.799072265625
4,player,2,-1,817.5534057617188,416.6410827636719,736.976318359375,549.6602172851562
4,player,6,-1,500.70745849609375,546.0025024414062,404.00067138671875,787.6619873046875
4,player,5,-1,1054.4029541015625,558.0609130859375,762.22509765625,932.3177490234375
4,player,4,-1,681.9630737304688,353.444091796875,691.0053100585938,291.4230041503906
4,player,15,-1,197.3488006591797,367.7041931152344,219.07359313964844,183.7689208984375
4,player,14,-1,609.004638671875,352.5744934082031,624.8690185546875,259.47802734375
4,player,10,-1,843.12890625,413.8196716308594,764.0426025390625,549.27294921875
4,ball,-1,-1,1066.99267578125,300.93914794921875,1171.1270751953125,199.80194091796875
5,player,1,-1,976.9074096679688,506.5885009765625,761.696533203125,819.5701904296875
5,player,3,-1,553.5805053710938,521.030517578125,451.2451171875,750.774658203125
5,player,2,-1,818.284423828125,417.4751281738281,736.695068359375,550.920166015625
5,player,6,-1,501.787353515625,544.9035034179688,404.5966796875,787.5618286132812
5,player,5,-1,1053.861083984375,556.9404296875,762.8114624023438,930.930419921875
5,player,4,-1,680.9336547851562,353.15087890625,690.611572265625,290.4252624511719
5,player,14,-1,607.9530029296875,352.9185791015625,623.1734008789062,260.7037048339844
5,player,15,-1,201.970947265625,368.1158447265625,218.96337890625,185.49880981445312
5,player,10,-1,839.95849609375,414.63787841796875,761.7568359375,549.8510131835938
6,player,1,-1,975.255126953125,506.99395751953125,760.9404296875,818.303955078125
6,player,3,-1,554.19775390625,522.1475219726562,451.58343505859375,751.0059814453125
6,player,2,-1,817.8734130859375,417.8827209472656,736.2294921875,552.122314453125
6,player,6,-1,502.4316711425781,544.0189208984375,405.26324462890625,786.916259765625
6,player,5,-1,1054.05712890625,556.2084350585938,763.4771728515625,929.5951538085938
6,player,4,-1,680.0001220703125,353.3106994628906,689.9749755859375,289.8915100097656
6,player,15,-1,206.3640899658203,368.1116638183594,220.37896728515625,187.13525390625
6,player,14,-1,607.0751953125,353.8688659667969,621.4229736328125,262.7545166015625
6,player,10,-1,840.033447265625,415.13800048828125,760.0841064453125,550.7572021484375
7,player,1,1,973.190673828125,508.20330810546875,759.5165405273438,818.1942138671875
7,player,3,1,554.8621826171875,523.2286376953125,451.7799072265625,752.0269775390625
7,player,2,1,819.246337890625,417.8098449707031,736.3544921875,552.96337890625
7,player,6,0,503.7730712890625,543.61865234375,406.0740051269531,786.3146362304688
7,player,4,1,678.626953125,353.2712097167969,689.1178588867188,289.32733154296875
7,player,5,0,1054.3275146484375,555.0106201171875,764.3656005859375,928.01220703125
7,player,14,-1,606.5855712890625,355.25799560546875,619.6089477539062,266.00494384765625
7,player,15,-1,208.51568603515625,367.6898498535156,222.0517578125,187.8338623046875
8,player,1,1,971.1514892578125,508.19842529296875,758.0928344726562,817.9557495117188
8,player,3,1,555.505126953125,524.4161376953125,451.86065673828125,753.6363525390625
8,player,6,0,505.2823791503906,543.4970092773438,406.97906494140625,785.9534301757812
8,player,4,1,678.86962890625,353.4942932128906,688.5475463867188,289.30279541015625
