frame,object_type,track_id,frame_x,frame_y,court_x,court_y
0,player,1,984.597412109375,511.4832763671875,765.554443359375,848.285888671875
0,player,2,820.0399169921875,415.6431579589844,742.1002807617188,542.2476196289062
0,player,3,549.8443603515625,524.2225952148438,434.403076171875,777.6055297851562
0,player,4,683.1903076171875,353.9429931640625,695.3831787109375,293.54229736328125
0,player,5,1053.11767578125,559.1517944335938,765.8926391601562,973.719482421875
0,player,6,498.1427917480469,544.8365478515625,384.85589599609375,815.1961669921875
0,player,7,847.3676147460938,413.3103332519531,768.0250854492188,541.9307861328125
1,player,1,984.6620483398438,510.758544921875,765.8441772460938,847.673583984375
1,player,2,819.6615600585938,416.40228271484375,741.6766357421875,543.0484619140625
1,player,3,551.1766357421875,524.5950927734375,434.6533508300781,778.0313720703125
1,player,4,683.6531982421875,353.71575927734375,695.6273193359375,293.28546142578125
1,player,5,1054.520263671875,561.8614501953125,765.2786254882812,975.877685546875
1,player,6,498.31109619140625,544.449462890625,384.9764709472656,814.8919677734375
1,player,8,615.156982421875,351.29180908203125,636.309326171875,265.1938171386719
1,player,9,206.7203369140625,362.36920166015625,263.0080871582031,200.0792999267578
2,player,1,983.7630615234375,509.79351806640625,766.1591796875,846.3761596679688
2,player,3,552.3239135742188,523.1088256835938,435.4487609863281,777.126953125
2,player,2,816.0657958984375,416.75640869140625,740.1951904296875,543.6348876953125
2,player,5,1055.0198974609375,560.3634033203125,765.536376953125,976.1915283203125
2,player,4,683.27490234375,353.85186767578125,695.607421875,293.2628479003906
2,player,6,499.0716247558594,544.3457641601562,385.2628479003906,814.6690063476562
2,player,9,205.83444213867188,366.94036865234375,261.85498046875,206.03271484375
2,player,8,612.4679565429688,350.8525085449219,635.6220092773438,264.35321044921875
2,player,7,832.6492919921875,417.27984619140625,761.9996337890625,544.9725341796875
2,player,10,848.4371948242188,414.92340087890625,766.9754028320312,547.291015625
3,player,1,980.637939453125,508.27734375,766.110595703125,843.9722900390625
3,player,3,553.019287109375,521.71875,436.46405029296875,775.400146484375
3,player,2,815.6388549804688,415.7760009765625,739.5070190429688,542.8998413085938
3,player,4,683.0377197265625,353.83367919921875,695.5262451171875,293.2017822265625
3,player,5,1055.281005859375,557.836181640625,766.6717529296875,974.5029296875
3,player,6,499.8858642578125,546.0325927734375,385.30316162109375,815.9698486328125
3,player,9,200.94049072265625,367.3733215332031,259.542724609375,210.031005859375
3,player,8,609.8681640625,351.780029296875,633.9825439453125,264.80389404296875
3,player,10,847.00634765625,412.8790283203125,767.4188842773438,544.9051513671875
4,player,1,978.2531127929688,507.04107666015625,765.9150390625,841.14697265625
4,player,3,553.3560791015625,520.8318481445312,437.41571044921875,773.5404052734375
4,player,2,818.88427734375,416.98504638671875,739.5228271484375,544.0424194335938
4,player,6,500.95428466796875,545.9491577148438,385.6083679199219,816.831298828125
4,player,5,1053.8096923828125,558.2141723632812,766.9066162109375,973.5736694335938
4,player,4,681.4815673828125,353.2696228027344,695.2134399414062,292.26910400390625
4,player,9,196.38478088378906,367.2647399902344,256.6832275390625,212.0791778564453
